Misin01G000100	AT1G09020
Misin02G079900	AT5G66380
Misin02G080000	AT1G72060
Misin02G080100	None
Misin02G080200	AT1G72280
Misin02G080300	None
Misin02G080400	AT5G28640
Misin02G080500	AT4G08150
Misin02G080600	None
Misin02G080700	AT4G37770
Misin02G080800	None
Misin02G080900	None
Misin02G081000	AT3G49725
Misin02G081100	AT2G17030
Misin02G081200	AT4G07990
Misin02G081300	AT3G49730
Misin02G081400	AT3G12210
Misin02G081500	AT4G34910
Misin02G081600	AT5G55940
Misin02G081700	AT1G68920
Misin02G081800	AT1G44920
Misin02G081900	AT5G65840
Misin02G082000	AT5G65840
Misin02G082100	AT2G22840
Misin02G082200	None
Misin02G082300	AT1G50000
Misin02G082400	AT5G25320
Misin02G082500	AT5G65910
Misin02G082600	AT2G03120
Misin02G082700	AT1G27480
Misin02G082800	AT2G23760
Misin02G082900	None
Misin02G083000	AT1G76610
Misin02G083100	AT5G66590
Misin02G083200	AT4G34350
Misin02G083300	AT1G28710
Misin02G083400	AT5G42620
Misin02G083500	None
Misin02G083600	AT1G49975
Misin02G083700	None
Misin02G083800	AT5G11730
Misin02G083900	AT5G11730
Misin02G084000	AT5G11730
Misin02G084100	AT1G10130
Misin02G084200	AT1G10130
Misin02G084300	AT4G14490
Misin02G084400	AT1G33540
Misin02G084500	AT1G10090
Misin02G084600	AT1G58520
Misin02G084700	AT3G50360
Misin02G084800	None
Misin02G084900	AT3G51000
Misin02G084900	AT4G02340
Misin02G085000	AT1G51560
Misin02G085100	AT4G37820
Misin02G085200	AT4G37850
Misin02G085300	AT5G10270
Misin02G085400	AT4G31770
Misin02G085500	None
Misin02G085600	None
Misin02G085700	AT5G58040
Misin02G085800	None
Misin02G085900	AT5G66550
Misin02G086000	AT4G39235
Misin02G086100	AT2G16250
Misin02G086200	AT1G75170
Misin02G086300	AT1G75170
Misin02G086400	AT1G75170
Misin02G086500	AT1G63850
Misin02G086600	AT5G66780
Misin02G086700	None
Misin02G086800	AT4G34490
Misin02G086900	AT5G42720
Misin02G087000	AT5G66750
Misin02G087100	AT4G34430
Misin02G087200	None
Misin02G087300	AT5G06660
Misin02G087400	AT1G54690
Misin02G087500	AT5G21050
Misin02G087600	None
Misin02G087700	AT3G04350
Misin02G087800	AT1G64790
Misin02G087900	None
Misin02G088000	None
Misin02G088100	AT1G17950
Misin02G088200	None
Misin02G088300	None
Misin02G088400	AT5G17330
Misin02G088500	None
Misin02G088600	AT2G02040
Misin02G088700	None
Misin02G088800	AT2G02040
Misin02G088900	AT2G41970
Misin02G089000	AT1G09570
Misin02G089100	AT3G09600
Misin02G089200	AT1G73450
Misin02G089300	None
Misin02G089400	AT1G73480
Misin02G089500	AT3G17770
Misin02G089600	AT3G17770
Misin02G089700	None
Misin02G089800	AT3G17770
Misin02G089900	AT2G01910
Misin02G090000	AT2G45180
Misin02G090100	AT5G37780
Misin02G090200	AT1G02410
Misin02G090300	None
Misin02G090400	None
Misin02G090500	AT1G25083
Misin02G090500	AT1G25220
Misin02G090600	AT3G17800
Misin02G090700	AT1G27480
Misin02G090800	AT2G01830
Misin02G090900	AT2G01830
Misin02G091000	None
Misin02G091100	None
Misin02G091200	None
Misin02G091300	AT1G11020
Misin02G091400	AT1G14730
Misin02G091500	AT1G66150
Misin02G091600	AT1G66170
Misin02G091700	AT4G36630
Misin02G091800	None
Misin02G091900	AT5G40830
Misin02G092000	AT1G67960
Misin02G092100	None
Misin02G092200	AT1G74260
Misin02G092300	AT4G12790
Misin02G092400	None
Misin02G092500	None
Misin02G092600	None
Misin02G092700	None
Misin02G092800	None
Misin02G092900	AT4G17720
Misin02G093000	None
Misin02G093100	None
Misin02G093200	AT1G18350
Misin02G093300	AT2G46520
Misin02G093400	AT1G18350
Misin02G093500	AT5G37510
Misin02G093600	AT2G01755
Misin02G093700	AT3G14760
Misin02G093800	AT1G14830
Misin02G093900	AT3G10050
Misin02G094000	AT3G10050
Misin02G094100	AT4G01570
Misin02G094200	AT1G66200
Misin02G094300	AT1G70730
Misin02G094400	AT1G48480
Misin02G094500	AT1G23260
Misin02G094600	AT1G70650
Misin02G094700	AT4G37110
Misin02G094800	None
Misin02G094900	AT3G17850
Misin02G095000	AT3G25940
Misin02G095100	AT1G14900
Misin02G095200	AT4G22760
Misin02G095300	None
Misin02G095400	AT1G62020
Misin02G095500	AT5G60550
Misin02G095600	None
Misin02G095700	AT1G49340
Misin02G095800	AT1G49340
Misin02G095900	AT1G25440
Misin02G096000	AT3G18480
Misin02G096100	AT4G39670
Misin02G096200	AT1G73885
Misin02G096300	None
Misin02G096400	AT5G42020
Misin02G096500	AT2G44050
Misin02G096600	AT1G13330
Misin02G096700	None
Misin02G096800	None
Misin02G096900	AT1G13340
Misin02G097000	AT2G02850
Misin02G097100	AT2G02850
Misin02G097200	AT2G02850
Misin02G097300	AT3G20650
Misin02G097400	AT1G65820
Misin02G097500	AT1G48570
Misin02G097600	AT1G11510
Misin02G097700	AT1G70750
Misin02G097800	AT2G33730
Misin02G097900	AT1G18170
Misin02G098000	AT1G18180
Misin02G098100	AT1G69090
Misin02G098200	None
Misin02G098300	AT2G01490
Misin02G098400	AT2G06925
Misin02G098500	None
Misin02G098600	AT5G61170
Misin02G098700	AT3G17970
Misin02G098800	None
Misin02G098900	None
Misin02G099000	None
Misin02G099100	AT1G18470
Misin02G099200	None
Misin02G099300	None
Misin02G099400	None
Misin02G099500	AT3G18550
Misin02G099600	None
Misin02G099700	AT5G22090
Misin02G099800	None
Misin02G099900	AT5G22090
Misin02G100000	None
Misin02G100100	AT1G21980
Misin02G100200	AT4G08180
Misin02G100300	None
Misin02G100400	AT1G77720
Misin02G100500	AT2G17900
Misin02G100600	AT3G26070
Misin02G100700	AT5G14320
Misin02G100800	None
Misin02G100900	AT4G08500
Misin02G101000	None
Misin02G101100	AT5G10290
Misin02G101200	AT3G18080
Misin02G101300	AT3G18080
Misin02G101400	AT3G18080
Misin02G101500	None
Misin02G101600	AT3G17430
Misin02G101700	AT4G18770
Misin02G101800	None
Misin02G101900	None
Misin02G102000	AT1G15200
Misin02G102100	AT1G10900
Misin02G102100	AT1G60890
Misin02G102200	AT1G66340
Misin02G102300	AT1G44770
Misin02G102400	AT5G11760
Misin02G102500	AT3G06470
Misin02G102600	None
Misin02G102700	AT2G13600
Misin02G102800	AT4G02725
Misin02G102900	AT2G32150
Misin02G103000	AT5G19820
Misin02G103100	AT5G03280
Misin02G103200	AT5G03280
Misin02G103300	AT1G55020
Misin02G103400	AT1G55020
Misin02G103500	AT1G55020
Misin02G103600	AT1G55000
Misin02G103700	AT1G03150
Misin02G103800	AT3G57610
Misin02G103900	AT3G18600
Misin02G104000	AT5G14520
Misin02G104100	AT3G27640
Misin02G104200	None
Misin02G104300	AT4G22330
Misin02G104400	None
Misin02G104500	None
Misin02G104600	None
Misin02G104700	None
Misin02G104800	AT4G22330
Misin02G104900	AT2G41900
Misin02G105000	AT3G08990
Misin02G105100	AT3G11230
Misin02G105200	None
Misin02G105300	AT2G40090
Misin02G105400	None
Misin02G105500	AT5G06300
Misin02G105600	AT3G20910
Misin02G105700	AT3G57500
Misin02G105800	AT4G13270
Misin02G105900	AT2G21660
Misin02G106000	AT5G06530
Misin02G106100	None
Misin02G106200	AT2G21660
Misin02G106300	AT5G26240
Misin02G106400	AT4G14800
Misin02G106500	AT3G22600
Misin02G106600	AT2G48130
Misin02G106700	AT1G54520
Misin02G106800	AT3G26300
Misin02G106900	None
Misin02G107000	AT5G49910
Misin02G107100	None
Misin02G107200	AT5G27820
Misin02G107300	AT3G26360
Misin02G107400	AT5G62890
Misin02G107500	AT1G18970
Misin02G107600	None
Misin02G107700	None
Misin02G107800	AT2G43820
Misin02G107900	AT3G50000
Misin02G108000	AT3G47850
Misin02G108100	AT2G43820
Misin02G108200	AT5G19860
Misin02G108300	AT3G47850
Misin02G108400	AT1G59650
Misin02G108500	AT5G27700
Misin02G108600	AT1G55265
Misin02G108700	AT1G74800
Misin02G108800	AT2G28150
Misin02G108900	AT3G26510
Misin02G109000	AT3G28455
Misin02G109100	None
Misin02G109200	AT5G39990
Misin02G109300	AT1G74790
Misin02G109400	AT3G26510
Misin02G109500	AT4G38062
Misin02G109600	AT4G33640
Misin02G109700	AT1G27150
Misin02G109800	AT1G71080
Misin02G109900	AT3G61130
Misin02G110000	None
Misin02G110100	AT4G15940
Misin02G110200	AT1G47420
Misin02G110300	None
Misin02G110400	None
Misin02G110500	None
Misin02G110600	None
Misin02G110700	AT1G74740
Misin02G110800	None
Misin02G110900	AT1G27090
Misin02G111000	None
Misin02G111100	AT1G27070
Misin02G111200	AT1G67350
Misin02G111300	None
Misin02G111400	AT4G32820
Misin02G111500	AT5G09570
Misin02G111600	AT2G23970
Misin02G111700	AT4G38020
Misin02G111800	AT1G32550
Misin02G111900	AT1G14060
Misin02G112000	AT5G06510
Misin02G112100	None
Misin02G112200	AT1G56430
Misin02G112300	None
Misin02G112400	AT1G34320
Misin02G112500	AT3G44150
Misin02G112600	AT3G52060
Misin02G112700	AT3G22190
Misin02G112800	AT5G22060
Misin02G112900	AT2G32300
Misin02G113000	AT2G17450
Misin02G113100	AT1G26560
Misin02G113200	AT3G62690
Misin02G113300	AT1G48410
Misin02G113400	AT5G01420
Misin02G113500	AT3G15790
Misin02G113600	AT2G38680
Misin02G113700	AT3G11760
Misin02G113800	AT2G26580
Misin02G113900	AT5G63370
Misin02G114000	AT1G11755
Misin02G114100	AT5G51330
Misin02G114200	AT3G22980
Misin02G114300	AT5G06560
Misin02G114400	AT2G38920
Misin02G114500	AT4G32915
Misin02G114600	AT3G58460
Misin02G114700	AT3G03700
Misin02G114700	AT3G04440
Misin02G114800	AT1G09240
Misin02G114900	AT2G41080
Misin02G115000	AT3G03680
Misin02G115100	AT5G18230
Misin02G115200	AT1G58030
Misin02G115300	AT1G64760
Misin02G115400	AT4G26370
Misin02G115500	AT1G55520
Misin02G115600	AT2G47260
Misin02G115700	AT2G47260
Misin02G115800	AT1G12740
Misin02G115900	AT5G17860
Misin02G116000	AT5G17840
Misin02G116100	AT2G27140
Misin02G116200	AT4G40042
Misin02G116300	AT5G20970
Misin02G116400	AT5G17920
Misin02G116500	AT4G38180
Misin02G116600	AT3G16610
Misin02G116700	AT2G03430
Misin02G116800	AT1G54410
Misin02G116900	AT3G03773
Misin02G117000	AT2G36900
Misin02G117100	AT5G39890
Misin02G117200	AT5G27990
Misin02G117300	AT5G47430
Misin02G117400	AT2G32090
Misin02G117500	AT4G14890
Misin02G117600	AT1G12740
Misin02G117700	None
Misin02G117800	None
Misin02G117900	None
Misin02G118000	None
Misin02G118100	AT1G60995
Misin02G118200	AT3G54940
Misin02G118300	AT1G16520
Misin02G118400	AT2G30130
Misin02G118500	AT1G56150
Misin02G118600	AT1G79130
Misin02G118700	AT1G56150
Misin02G118800	AT1G79130
Misin02G118900	AT1G79130
Misin02G119000	AT1G79160
Misin02G119100	None
Misin02G119200	AT5G23860
Misin02G119300	AT4G20880
Misin02G119400	AT4G11650
Misin02G119500	AT4G11650
Misin02G119600	AT1G51160
Misin02G119700	AT5G26830
Misin02G119800	AT5G26830
Misin02G119900	AT5G26830
Misin02G120000	AT5G26830
Misin02G120100	AT5G26830
Misin02G120200	AT2G32010
Misin02G120300	AT1G67580
Misin02G120400	AT1G17980
Misin02G120500	AT3G22640
Misin02G120600	AT3G22600
Misin02G120700	AT3G22590
Misin02G120800	None
Misin02G120900	AT2G32030
Misin02G121000	AT2G32030
Misin02G121100	AT3G22550
Misin02G121200	AT3G22540
Misin02G121300	AT3G56210
Misin02G121400	None
Misin02G121500	AT1G13980
Misin02G121600	AT2G30880
Misin02G121700	AT2G35640
Misin02G121800	AT4G19640
Misin02G121900	AT1G31300
Misin02G122000	AT3G09600
Misin02G122100	None
Misin02G122200	AT5G45110
Misin02G122300	None
Misin02G122400	AT5G45110
Misin02G122500	AT1G31260
Misin02G122600	AT1G31260
Misin02G122700	None
Misin02G122800	AT1G18590
Misin02G122900	None
Misin02G123000	None
Misin02G123100	None
Misin02G123200	None
Misin02G123300	None
Misin02G123400	AT2G27880
Misin02G123500	AT5G48930
Misin02G123600	AT3G11290
Misin02G123700	AT2G34930
Misin02G123800	AT5G03810
Misin02G123900	AT3G53090
Misin02G124000	AT3G21175
Misin02G124100	AT5G22820
Misin02G124200	AT1G08390
Misin02G124300	AT5G22830
Misin02G124400	AT4G28570
Misin02G124500	AT4G28570
Misin02G124600	None
Misin02G124700	AT4G02890
Misin02G124800	None
Misin02G124900	None
Misin02G125000	AT5G67360
Misin02G125100	AT3G46940
Misin02G125200	AT4G34460
Misin02G125300	AT4G34480
Misin02G125400	AT1G20460
Misin02G125500	None
Misin02G125600	None
Misin02G125700	AT1G13200
Misin02G125800	AT2G31900
Misin02G125900	AT1G13200
Misin02G126000	None
Misin02G126100	None
Misin02G126200	None
Misin02G126300	None
Misin02G126400	AT1G79120
Misin02G126500	AT2G21660
Misin02G126600	AT2G18390
Misin02G126700	AT4G37850
Misin02G126800	AT4G37850
Misin02G126900	AT3G22960
Misin02G127000	AT1G16630
Misin02G127100	AT3G07040
Misin02G127200	None
Misin02G127300	AT4G37810
Misin02G127400	AT1G58370
Misin02G127500	AT4G08150
Misin02G127600	None
Misin02G127700	AT1G58520
Misin02G127800	AT4G33030
Misin02G127900	AT2G14520
Misin02G128000	AT4G37740
Misin02G128100	None
Misin02G128200	None
Misin02G128300	AT3G62420
Misin02G128400	AT5G65880
Misin02G128500	AT2G14660
Misin02G128600	AT4G21620
Misin02G128700	AT2G22880
Misin02G128800	AT1G73500
Misin02G128900	None
Misin02G129000	AT5G41770
Misin02G129100	AT2G23780
Misin02G129200	None
Misin02G129300	None
Misin02G129400	AT3G50760
Misin02G129500	AT2G29630
Misin02G129600	None
Misin02G129700	None
Misin02G129800	AT1G66600
Misin02G129900	AT3G04710
Misin02G130000	AT3G04710
Misin02G130100	AT3G04710
Misin02G130200	AT4G17570
Misin02G130300	None
Misin02G130400	AT1G19700
Misin02G130500	AT1G28190
Misin02G130600	AT4G34610
Misin02G130700	AT1G58250
Misin02G130800	AT5G42990
Misin02G130900	AT1G58250
Misin02G131000	AT1G58250
Misin02G131100	AT1G58250
Misin02G131200	AT5G42990
Misin02G131300	AT3G23610
Misin02G131400	None
Misin02G131500	AT5G03470
Misin02G131600	AT5G04280
Misin02G131700	None
Misin02G131800	AT4G21710
Misin02G131900	AT4G30560
Misin02G132000	AT1G71850
Misin02G132100	None
Misin02G132200	AT5G38640
Misin02G132300	AT1G30120
Misin02G132400	AT2G45110
Misin02G132500	AT1G65680
Misin02G132600	AT2G42800
Misin02G132700	None
Misin02G132800	AT2G34610
Misin02G132900	AT1G78380
Misin02G133000	AT5G46180
Misin02G133100	None
Misin02G133200	AT5G47635
Misin02G133300	AT1G30300
Misin02G133400	AT5G10530
Misin02G133500	None
Misin02G133600	None
Misin02G133700	AT5G58230
Misin02G133800	AT5G58230
Misin02G133900	AT2G34710
Misin02G134000	AT4G05410
Misin02G134100	AT4G21120
Misin02G134200	AT1G30440
Misin02G134300	AT1G49950
Misin02G134400	AT1G31260
Misin02G134500	AT5G58290
Misin02G134600	None
Misin02G134700	AT3G54950
Misin02G134800	AT3G54950
Misin02G134900	AT5G44560
Misin02G135000	AT1G79050
Misin02G135100	AT4G20380
Misin02G135200	AT3G43270
Misin02G135300	None
Misin02G135400	AT2G35910
Misin02G135500	AT5G11050
Misin02G135600	AT2G20180
Misin02G135700	None
Misin02G135800	AT1G34300
Misin02G135900	None
Misin02G136000	AT3G48880
Misin02G136100	AT3G48880
Misin02G136200	None
Misin02G136300	AT3G22750
Misin02G136400	AT3G22780
Misin02G136500	AT3G13050
Misin02G136600	AT4G14760
Misin02G136700	AT3G22800
Misin02G136800	AT3G04810
Misin02G136900	None
Misin02G137000	AT4G14750
Misin02G137100	AT3G22810
Misin02G137100	AT3G63300
Misin02G137200	AT5G64700
Misin02G137300	AT5G64700
Misin02G137400	AT1G48900
Misin02G137500	None
Misin02G137600	AT3G22942
Misin02G137700	None
Misin02G137800	None
Misin02G137900	None
Misin02G138000	AT4G14580
Misin02G138100	AT5G28750
Misin02G138200	AT1G04240
Misin02G138300	AT1G47720
Misin02G138400	AT3G04730
Misin02G138500	AT4G24220
Misin02G138600	AT5G49690
Misin02G138700	None
Misin02G138800	AT5G49690
Misin02G138900	AT3G54650
Misin02G139000	AT3G22980
Misin02G139100	None
Misin02G139200	AT2G30580
Misin02G139300	None
Misin02G139400	AT1G08780
Misin02G139500	AT5G28650
Misin02G139600	AT1G06750
Misin02G139700	AT1G55840
Misin02G139800	None
Misin02G139900	None
Misin02G140000	AT3G04610
Misin02G140100	AT4G19540
Misin02G140200	AT4G26570
Misin02G140300	AT4G26570
Misin02G140400	AT3G26590
Misin02G140500	AT4G36860
Misin02G140600	AT1G47510
Misin02G140700	AT1G49410
Misin02G140800	AT4G34370
Misin02G140900	AT4G34370
Misin02G141000	AT1G47550
Misin02G141100	None
Misin02G141200	AT3G18950
Misin02G141300	None
Misin02G141400	AT3G18400
Misin02G141500	AT5G42630
Misin02G141600	AT4G34265
Misin02G141700	AT4G33280
Misin02G141800	AT5G12890
Misin02G141900	AT4G33280
Misin02G142000	None
Misin02G142100	AT3G18990
Misin02G142200	AT4G33280
Misin02G142300	AT4G33280
Misin02G142400	AT4G33280
Misin02G142500	AT1G66100
Misin02G142600	AT1G43770
Misin02G142700	AT5G08005
Misin02G142800	AT4G33280
Misin02G142900	AT4G33280
Misin02G143000	AT4G33280
Misin02G143100	AT4G33280
Misin02G143200	AT5G39660
Misin02G143300	None
Misin02G143400	AT3G19000
Misin02G143500	AT3G19010
Misin02G143600	AT3G19000
Misin02G143700	AT2G19940
Misin02G143800	AT2G14760
Misin02G143900	AT1G62390
Misin02G144000	AT4G37630
Misin02G144100	None
Misin02G144200	None
Misin02G144300	AT1G64960
Misin02G144400	AT4G37640
Misin02G144500	AT1G49980
Misin02G144600	None
Misin02G144700	AT5G66860
Misin02G144800	AT5G66870
Misin02G144900	None
Misin02G145000	AT4G04220
Misin02G145100	AT1G47720
Misin02G145100	None
Misin02G145200	AT1G04420
Misin02G145300	AT5G22670
Misin02G145400	AT1G04420
Misin02G145500	AT4G33950
Misin02G145600	None
Misin02G145700	AT1G47710
Misin02G145800	AT1G47710
Misin02G145900	AT2G44190
Misin02G146000	None
Misin02G146100	None
Misin02G146200	AT3G19580
Misin02G146300	None
Misin02G146400	AT2G14820
Misin02G146500	AT5G19485
Misin02G146600	AT5G44370
Misin02G146700	AT5G67420
Misin02G146800	AT5G19790
Misin02G146900	None
Misin02G147000	AT5G67320
Misin02G147100	AT1G24625
Misin02G147200	AT5G43080
Misin02G147300	AT2G14910
Misin02G147400	AT1G47240
Misin02G147500	AT3G50590
Misin02G147600	AT1G10588
Misin02G147700	None
Misin02G147800	AT3G19540
Misin02G147900	None
Misin02G148000	None
Misin02G148100	None
Misin02G148200	AT1G49870
Misin02G148300	AT5G67390
Misin02G148400	None
Misin02G148500	AT1G45248
Misin02G148600	None
Misin02G148700	None
Misin02G148800	AT5G15490
Misin02G148900	AT3G29340
Misin02G149000	None
Misin02G149100	AT2G29900
Misin02G149200	None
Misin02G149300	AT5G55840
Misin02G149400	None
Misin02G149500	AT3G09860
Misin02G149600	None
Misin02G149700	None
Misin02G149800	None
Misin02G149900	AT3G07610
Misin02G150000	AT5G08030
Misin02G150100	AT5G08040
Misin02G150200	AT1G69200
Misin02G150300	None
Misin02G150400	AT3G30180
Misin02G150500	AT3G06250
Misin02G150600	AT1G13690
Misin02G150700	AT5G55840
Misin02G150800	AT5G55840
Misin02G150900	None
Misin02G151000	None
Misin02G151100	None
Misin02G151200	None
Misin02G151300	AT2G29060
Misin02G151400	AT5G09900
Misin02G151500	None
Misin02G151600	None
Misin02G151700	AT2G37650
Misin02G151800	None
Misin02G151900	AT3G48710
Misin02G152000	AT1G62310
Misin02G152100	AT3G48710
Misin02G152200	AT3G25430
Misin02G152300	AT2G36620
Misin02G152400	AT1G15910
Misin02G152500	AT5G47630
Misin02G152600	AT4G13500
Misin02G152700	AT5G55640
Misin02G152800	AT1G13080
Misin02G152900	None
Misin02G153000	AT3G14470
Misin02G153100	AT5G25180
Misin02G153200	AT1G70080
Misin02G153200	AT4G20230
Misin02G153300	None
Misin02G153400	ArthCp028
Misin02G153500	AT3G26280
Misin02G153600	AT5G47790
Misin02G153700	AT3G26300
Misin02G153800	AT1G55930
Misin02G153900	None
Misin02G154000	AT1G21150
Misin02G154100	AT2G05100
Misin02G154200	AT3G07050
Misin02G154300	AT5G16320
Misin02G154400	None
Misin02G154500	None
Misin02G154600	None
Misin02G154700	AT1G66580
Misin02G154800	None
Misin02G154900	None
Misin02G155000	AT3G20150
Misin02G155100	AT1G50575
Misin02G155200	None
Misin02G155300	AT3G02870
Misin02G155400	AT2G03270
Misin02G155500	AT3G11710
Misin02G155600	AT5G47320
Misin02G155700	AT3G62010
Misin02G155800	None
Misin02G155900	None
Misin02G156000	None
Misin02G156100	None
Misin02G156200	AT3G15840
Misin02G156300	AT4G31490
Misin02G156400	AT2G35610
Misin02G156500	AT3G47570
Misin02G156600	AT5G65590
Misin02G156700	None
Misin02G156800	AT5G50850
Misin02G156900	AT2G07050
Misin02G157000	AT2G07050
Misin02G157100	AT3G56190
Misin02G157200	AT3G03300
Misin02G157300	AT3G03300
Misin02G157400	None
Misin02G157500	AT3G03300
Misin02G157600	None
Misin02G157700	AT3G03300
Misin02G157800	None
Misin02G157900	AT5G48670
Misin02G158000	None
Misin02G158100	None
Misin02G158200	None
Misin02G158300	AT1G61250
Misin02G158400	AT1G61250
Misin02G158500	None
Misin02G158600	AT2G37650
Misin02G158700	AT2G20830
Misin02G158800	AT2G20820
Misin02G158900	AT5G50600
Misin02G159000	AT3G13677
Misin02G159100	AT5G19000
Misin02G159200	AT2G20815
Misin02G159300	AT3G09410
Misin02G159400	AT3G02560
Misin02G159500	AT2G43820
Misin02G159600	AT5G55050
Misin02G159700	AT5G37690
Misin02G159800	AT5G55050
Misin02G159900	AT5G55050
Misin02G160000	AT3G14470
Misin02G160100	None
Misin02G160200	AT3G14470
Misin02G160300	None
Misin02G160400	AT2G32480
Misin02G160500	AT2G32460
Misin02G160600	AT5G52230
Misin02G160700	AT5G52230
Misin02G160800	AT5G47550
Misin02G160900	None
Misin02G161000	AT1G05170
Misin02G161100	AT4G13420
Misin02G161200	AT4G13420
Misin02G161300	AT4G13420
Misin02G161400	None
Misin02G161500	AT4G21780
Misin02G161600	AT3G17940
Misin02G161700	AT3G14460
Misin02G161800	AT4G21790
Misin02G161900	None
Misin02G162000	AT4G34060
Misin02G162100	AT3G53700
Misin02G162200	AT1G61790
Misin02G162300	AT3G22060
Misin02G162400	AT4G01897
Misin02G162500	None
Misin02G162600	None
Misin02G162700	AT5G19000
Misin02G162800	AT4G21380
Misin02G162900	AT1G15720
Misin02G163000	None
Misin02G163100	None
Misin02G163200	None
Misin02G163300	AT2G05230
Misin02G163400	AT1G11800
Misin02G163500	AT5G42510
Misin02G163600	AT3G53480
Misin02G163700	AT1G79130
Misin02G163800	AT2G33800
Misin02G163900	AT2G33830
Misin02G164000	AT1G78560
Misin02G164100	AT5G44280
Misin02G164200	AT1G03750
Misin02G164300	AT3G06170
Misin02G164400	AT3G05680
Misin02G164500	AT3G05975
Misin02G164600	AT2G33820
Misin02G164700	AT2G31260
Misin02G164800	AT1G27480
Misin02G164900	AT1G27480
Misin02G165000	AT2G45560
Misin02G165100	AT2G45570
Misin02G165200	None
Misin02G165300	None
Misin02G165400	AT1G17530
Misin02G165500	AT5G35970
Misin02G165600	None
Misin02G165700	AT1G64650
Misin02G165800	None
Misin02G165900	AT3G05210
Misin02G166000	AT4G10730
Misin02G166100	None
Misin02G166200	AT5G35530
Misin02G166300	AT5G45550
Misin02G166400	AT5G41020
Misin02G166500	None
Misin02G166600	AT5G17620
Misin02G166700	AT4G27460
Misin02G166700	AT5G53750
Misin02G166800	AT4G37880
Misin02G166900	AT4G02340
Misin02G167000	AT5G20890
Misin02G167100	AT1G57540
Misin02G167200	AT3G06960
Misin02G167300	None
Misin02G167400	None
Misin02G167500	None
Misin02G167600	AT3G17465
Misin02G167700	None
Misin02G167800	AT2G47960
Misin02G167900	AT4G04950
Misin02G168000	None
Misin02G168100	AT4G28260
Misin02G168200	AT1G07210
Misin02G168300	AT1G03650
Misin02G168400	AT3G47160
Misin02G168500	None
Misin02G168600	None
Misin02G168700	None
Misin02G168800	None
Misin02G168900	AT4G37780
Misin02G169000	AT1G28100
Misin02G169100	None
Misin02G169200	AT4G02340
Misin02G169300	AT5G10010
Misin02G169400	None
Misin02G169500	None
Misin02G169600	AT5G67470
Misin02G169700	None
Misin02G169800	AT4G21705
Misin02G169900	AT2G20710
Misin02G170000	None
Misin02G170100	AT3G09920
Misin02G170200	AT2G23790
Misin02G170300	None
Misin02G170400	AT1G56450
Misin02G170500	None
Misin02G170600	AT1G07280
Misin02G170700	AT5G53490
Misin02G170800	AT4G10810
Misin02G170900	None
Misin02G171000	None
Misin02G171100	AT1G58290
Misin02G171200	AT3G48890
Misin02G171300	None
Misin02G171400	AT3G48880
Misin02G171500	None
Misin02G171600	AT3G55630
Misin02G171600	AT5G05980
Misin02G171700	None
Misin02G171800	AT5G17540
Misin02G171900	AT4G00570
Misin02G172000	AT1G63260
Misin02G172100	AT3G48940
Misin02G172200	AT1G12805
Misin02G172300	AT4G25570
Misin02G172400	None
Misin02G172500	AT5G41140
Misin02G172600	AT5G38170
Misin02G172700	AT5G38170
Misin02G172800	AT3G05060
Misin02G172800	AT5G27120
Misin02G172900	None
Misin02G173000	AT3G60050
Misin02G173100	AT5G52300
Misin02G173200	AT1G55630
Misin02G173300	AT5G23760
Misin02G173400	AT1G14610
Misin02G173500	AT1G14610
Misin02G173600	AT1G33400
Misin02G173700	AT3G14470
Misin02G173800	AT4G16535
Misin02G173900	AT3G60600
Misin02G174000	AT3G09280
Misin02G174100	AT2G35720
Misin02G174200	AT4G12420
Misin02G174300	AT3G60680
Misin02G174400	AT2G45190
Misin02G174500	AT5G54090
Misin02G174600	AT3G17570
Misin02G174700	None
Misin02G174800	AT2G01610
Misin02G174900	AT5G51510
Misin02G175000	AT3G60740
Misin02G175100	AT3G49550
Misin02G175200	AT2G46910
Misin02G175300	AT5G24655
Misin02G175400	AT3G16210
Misin02G175500	None
Misin02G175600	None
Misin02G175700	None
Misin02G175800	None
Misin02G175900	AT5G09810
Misin02G176000	AT4G21390
Misin02G176100	AT1G76240
Misin02G176200	AT1G06440
Misin02G176300	None
Misin02G176400	AT1G33170
Misin02G176500	None
Misin02G176600	AT2G46700
Misin02G176700	AT4G36190
Misin02G176800	AT4G36190
Misin02G176900	AT3G51120
Misin02G177000	AT4G36210
Misin02G177100	AT4G36220
Misin02G177200	AT2G21350
Misin02G177300	AT4G34660
Misin02G177400	None
Misin02G177500	AT4G39050
Misin02G177600	None
Misin02G177700	None
Misin02G177800	AT4G10380
Misin02G177900	AT4G10380
Misin02G178000	None
Misin02G178100	AT2G46080
Misin02G178200	AT1G64940
Misin02G178300	AT1G64940
Misin02G178400	AT1G64940
Misin02G178500	None
Misin02G178600	AT1G33260
Misin02G178700	AT2G43400
Misin02G178800	AT1G55520
Misin02G178900	None
Misin02G179000	None
Misin02G179100	None
Misin02G179200	AT1G76890
Misin02G179300	AT1G33250
Misin02G179400	None
Misin02G179500	AT5G23450
Misin02G179600	None
Misin02G179700	None
Misin02G179800	None
Misin02G179900	None
Misin02G180000	None
Misin02G180100	None
Misin02G180200	AT5G53580
Misin02G180300	AT1G64660
Misin02G180400	AT5G09590
Misin02G180500	AT4G13420
Misin02G180600	AT3G48180
